case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
square_patch_3x3__quantized__p2__h1__full,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,2,1,full,2.828125,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,False,1
square_patch_3x3__quantized__p2__h2__selected,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,2,2,selected,1.0,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,True,
square_patch_3x3__quantized__p2__h2__full,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,2,2,full,2.828125,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,False,"1,2"
square_patch_3x3__quantized__p3__h1__selected,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,3,1,selected,1.0,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,True,
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,3,1,full,2.828125,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,False,1
square_patch_3x3__quantized__p3__h2__selected,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,3,2,selected,1.0,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,True,
square_patch_3x3__quantized__p3__h2__full,square_patch_3x3__quantized,B,Square lattice patch 3x3,quantized,3,2,full,2.828125,9,6b119c77f3a9336acae9ac65d34873c74f5413135bd97ce88f619114799122bd,bf551e661b73a098ad05d7fee24dc23a6a17258fd40b3d2da7cfa08ed6c1ce87,False,"1,2"
triangular_patch_3x3__floating__p2__h1__selected,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,2,1,selected,1.0,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,2,1,full,2.6457513110645907,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p2__h2__selected,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,2,2,selected,1.0,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p2__h2__full,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,2,2,full,2.6457513110645907,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1,2"
triangular_patch_3x3__floating__p3__h1__selected,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,3,1,selected,1.0,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p3__h1__full,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,3,1,full,2.6457513110645907,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p3__h2__selected,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,3,2,selected,1.0,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1"
triangular_patch_3x3__floating__p3__h2__full,triangular_patch_3x3__floating,B,Triangular lattice patch 3x3,floating,3,2,full,2.6457513110645907,9,68a205222b6cf638152e65dea88840d7a0d0088e137dc720e81be2b6f082da8c,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"0,1,2"
triangular_patch_3x3__quantized__p2__h1__selected,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,2,1,selected,1.0,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p2__h1__full,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,2,1,full,2.6455078125,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p2__h2__selected,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,2,2,selected,1.0,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p2__h2__full,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,2,2,full,2.6455078125,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"1,2"
triangular_patch_3x3__quantized__p3__h1__selected,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,3,1,selected,1.0,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p3__h1__full,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,3,1,full,2.6455078125,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p3__h2__selected,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,3,2,selected,1.0,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,1
triangular_patch_3x3__quantized__p3__h2__full,triangular_patch_3x3__quantized,B,Triangular lattice patch 3x3,quantized,3,2,full,2.6455078125,9,5879f7278c859f98888eb94312ae9813cab89a5318769dc3be01abf79d7ca6b8,18c96164d56b58ad10bdc1916e6ae0cb4de2ebfcb782ea2b2ab7617f454398ad,False,"1,2"
honeycomb_patch_2x2__floating__p2__h1__selected,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,2,1,selected,1.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,2,1,full,4.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"0,1"
honeycomb_patch_2x2__floating__p2__h2__selected,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,2,2,selected,1.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,2,2,full,4.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"0,1,2"
honeycomb_patch_2x2__floating__p3__h1__selected,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,3,1,selected,1.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,0
honeycomb_patch_2x2__floating__p3__h1__full,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,3,1,full,4.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"0,1"
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,3,2,selected,1.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,0
honeycomb_patch_2x2__floating__p3__h2__full,honeycomb_patch_2x2__floating,B,Honeycomb patch 2x2 cells,floating,3,2,full,4.0,8,2b43da87ebce7a96c1f9aab3397c8ed4674fb09fab532690fcf40dc09531841d,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"0,1,2"
honeycomb_patch_2x2__quantized__p2__h1__selected,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,2,1,selected,1.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,True,
honeycomb_patch_2x2__quantized__p2__h1__full,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,2,1,full,4.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,1
honeycomb_patch_2x2__quantized__p2__h2__selected,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,2,2,selected,1.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,True,
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,2,2,full,4.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"1,2"
honeycomb_patch_2x2__quantized__p3__h1__selected,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,3,1,selected,1.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,True,
honeycomb_patch_2x2__quantized__p3__h1__full,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,3,1,full,4.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,1
honeycomb_patch_2x2__quantized__p3__h2__selected,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,3,2,selected,1.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,True,
honeycomb_patch_2x2__quantized__p3__h2__full,honeycomb_patch_2x2__quantized,B,Honeycomb patch 2x2 cells,quantized,3,2,full,4.0,8,905c07d43ffe7f3eca37b40868b5269076dca361b0bfde16bb93c90d04344b98,78a86da9e19a1f925ae1ea9176b460465de8766b416156a969562ea96784a389,False,"1,2"
nacl_coordination_shell__floating__p2__h1__selected,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,2,1,selected,1.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__floating__p2__h1__full,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,2,1,full,2.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,1
nacl_coordination_shell__floating__p2__h2__selected,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,2,2,selected,1.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__floating__p2__h2__full,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,2,2,full,2.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,"1,2"
nacl_coordination_shell__floating__p3__h1__selected,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,3,1,selected,1.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__floating__p3__h1__full,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,3,1,full,2.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,1
nacl_coordination_shell__floating__p3__h2__selected,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,3,2,selected,1.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__floating__p3__h2__full,nacl_coordination_shell__floating,B,NaCl-style coordination shell,floating,3,2,full,2.0,7,5a31949863d65f482acbbd24d5b5df04f640b4d56b8a487c78bbb879bc0d6205,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,"1,2"
nacl_coordination_shell__quantized__p2__h1__selected,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,2,1,selected,1.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__quantized__p2__h1__full,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,2,1,full,2.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,1
nacl_coordination_shell__quantized__p2__h2__selected,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,2,2,selected,1.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__quantized__p2__h2__full,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,2,2,full,2.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,"1,2"
nacl_coordination_shell__quantized__p3__h1__selected,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,3,1,selected,1.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__quantized__p3__h1__full,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,3,1,full,2.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,1
nacl_coordination_shell__quantized__p3__h2__selected,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,3,2,selected,1.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,True,
nacl_coordination_shell__quantized__p3__h2__full,nacl_coordination_shell__quantized,B,NaCl-style coordination shell,quantized,3,2,full,2.0,7,4664e10abe61486076e41650bc39203875f5d57e14e39e7f603dd74034bd4b25,a0ad1bb9cf033b438bab5413c132aabc212fb8864bb814c157fd9b67c1797569,False,"1,2"
